sample,label,is_valid
task1\train_data\images\unlabeled\10041.jpeg,52,False
task1\train_data\images\unlabeled\10042.jpeg,41,False
task1\train_data\images\unlabeled\10043.jpeg,73,False
task1\train_data\images\unlabeled\10044.jpeg,35,False
task1\train_data\images\unlabeled\10045.jpeg,35,False
task1\train_data\images\unlabeled\10046.jpeg,40,False
task1\train_data\images\unlabeled\10047.jpeg,76,False
task1\train_data\images\unlabeled\10048.jpeg,36,False
task1\train_data\images\unlabeled\10049.jpeg,18,False
task1\train_data\images\unlabeled\1005.jpeg,85,False
task1\train_data\images\unlabeled\10050.jpeg,50,False
task1\train_data\images\unlabeled\10051.jpeg,25,False
task1\train_data\images\unlabeled\10052.jpeg,52,False
task1\train_data\images\unlabeled\10053.jpeg,17,False
task1\train_data\images\unlabeled\10054.jpeg,17,False
task1\train_data\images\unlabeled\10055.jpeg,31,False
task1\train_data\images\unlabeled\10056.jpeg,73,False
task1\train_data\images\unlabeled\10057.jpeg,12,False
task1\train_data\images\unlabeled\10058.jpeg,6,False
task1\train_data\images\unlabeled\10059.jpeg,79,False
task1\train_data\images\unlabeled\1006.jpeg,15,False
task1\train_data\images\unlabeled\10060.jpeg,17,False
task1\train_data\images\unlabeled\10061.jpeg,9,False
task1\train_data\images\unlabeled\10062.jpeg,75,False
task1\train_data\images\unlabeled\10063.jpeg,58,False
task1\train_data\images\unlabeled\10064.jpeg,15,False
task1\train_data\images\unlabeled\10065.jpeg,23,False
task1\train_data\images\unlabeled\10066.jpeg,84,False
task1\train_data\images\unlabeled\10067.jpeg,5,False
task1\train_data\images\unlabeled\10068.jpeg,32,False
task1\train_data\images\unlabeled\10069.jpeg,94,False
task1\train_data\images\unlabeled\1007.jpeg,92,False
task1\train_data\images\unlabeled\10070.jpeg,20,False
task1\train_data\images\unlabeled\10071.jpeg,18,False
task1\train_data\images\unlabeled\10072.jpeg,42,False
task1\train_data\images\unlabeled\10073.jpeg,9,False
task1\train_data\images\unlabeled\10074.jpeg,13,False
task1\train_data\images\unlabeled\10075.jpeg,69,False
task1\train_data\images\unlabeled\10076.jpeg,70,False
task1\train_data\images\unlabeled\10077.jpeg,15,False
task1\train_data\images\unlabeled\10078.jpeg,34,False
task1\train_data\images\unlabeled\10079.jpeg,58,False
task1\train_data\images\unlabeled\1008.jpeg,92,False
task1\train_data\images\unlabeled\10080.jpeg,17,False
task1\train_data\images\unlabeled\10081.jpeg,81,False
task1\train_data\images\unlabeled\10082.jpeg,10,False
task1\train_data\images\unlabeled\10083.jpeg,53,False
task1\train_data\images\unlabeled\10084.jpeg,5,False
task1\train_data\images\unlabeled\10085.jpeg,27,False
task1\train_data\images\unlabeled\10086.jpeg,7,False
task1\train_data\images\unlabeled\10087.jpeg,37,False
task1\train_data\images\unlabeled\10088.jpeg,47,False
task1\train_data\images\unlabeled\10089.jpeg,49,False
task1\train_data\images\unlabeled\1009.jpeg,23,False
task1\train_data\images\unlabeled\10090.jpeg,92,False
task1\train_data\images\unlabeled\10091.jpeg,49,False
task1\train_data\images\unlabeled\10092.jpeg,35,False
task1\train_data\images\unlabeled\10093.jpeg,48,False
task1\train_data\images\unlabeled\10094.jpeg,79,False
task1\train_data\images\unlabeled\10095.jpeg,42,False
task1\train_data\images\unlabeled\10096.jpeg,62,False
task1\train_data\images\unlabeled\10097.jpeg,1,False
task1\train_data\images\unlabeled\10098.jpeg,58,False
task1\train_data\images\unlabeled\10099.jpeg,36,False
task1\train_data\images\unlabeled\101.jpeg,68,False
task1\train_data\images\unlabeled\1010.jpeg,59,False
task1\train_data\images\unlabeled\10100.jpeg,36,False
task1\train_data\images\unlabeled\10101.jpeg,28,False
task1\train_data\images\unlabeled\10102.jpeg,21,False
task1\train_data\images\unlabeled\10103.jpeg,61,False
task1\train_data\images\unlabeled\10104.jpeg,12,False
task1\train_data\images\unlabeled\10105.jpeg,10,False
task1\train_data\images\unlabeled\10106.jpeg,11,False
task1\train_data\images\unlabeled\10107.jpeg,81,False
task1\train_data\images\unlabeled\10108.jpeg,9,False
task1\train_data\images\unlabeled\10109.jpeg,33,False
task1\train_data\images\unlabeled\1011.jpeg,25,False
task1\train_data\images\unlabeled\10110.jpeg,69,False
task1\train_data\images\unlabeled\10111.jpeg,59,False
task1\train_data\images\unlabeled\10112.jpeg,57,False
task1\train_data\images\unlabeled\10113.jpeg,63,False
task1\train_data\images\unlabeled\10114.jpeg,4,False
task1\train_data\images\unlabeled\10115.jpeg,8,False
task1\train_data\images\unlabeled\10116.jpeg,88,False
task1\train_data\images\unlabeled\10117.jpeg,6,False
task1\train_data\images\unlabeled\10118.jpeg,75,False
task1\train_data\images\unlabeled\10119.jpeg,32,False
task1\train_data\images\unlabeled\1012.jpeg,96,False
task1\train_data\images\unlabeled\10120.jpeg,81,False
task1\train_data\images\unlabeled\10121.jpeg,72,False
task1\train_data\images\unlabeled\10122.jpeg,44,False
task1\train_data\images\unlabeled\10123.jpeg,27,False
task1\train_data\images\unlabeled\10124.jpeg,52,False
task1\train_data\images\unlabeled\10125.jpeg,21,False
task1\train_data\images\unlabeled\10126.jpeg,57,False
task1\train_data\images\unlabeled\10127.jpeg,53,False
task1\train_data\images\unlabeled\10128.jpeg,60,False
task1\train_data\images\unlabeled\10129.jpeg,38,False
task1\train_data\images\unlabeled\1013.jpeg,9,False
task1\train_data\images\unlabeled\10130.jpeg,59,False
task1\train_data\images\unlabeled\10131.jpeg,67,False
task1\train_data\images\unlabeled\10132.jpeg,1,False
task1\train_data\images\unlabeled\10133.jpeg,22,False
task1\train_data\images\unlabeled\10134.jpeg,74,False
task1\train_data\images\unlabeled\10135.jpeg,87,False
task1\train_data\images\unlabeled\10136.jpeg,57,False
task1\train_data\images\unlabeled\10137.jpeg,93,False
task1\train_data\images\unlabeled\10138.jpeg,6,False
task1\train_data\images\unlabeled\10139.jpeg,76,False
task1\train_data\images\unlabeled\1014.jpeg,46,False
task1\train_data\images\unlabeled\10140.jpeg,13,False
task1\train_data\images\unlabeled\10141.jpeg,27,False
task1\train_data\images\unlabeled\10142.jpeg,91,False
task1\train_data\images\unlabeled\10143.jpeg,86,False
task1\train_data\images\unlabeled\10144.jpeg,68,False
task1\train_data\images\unlabeled\10145.jpeg,65,False
task1\train_data\images\unlabeled\10146.jpeg,32,False
task1\train_data\images\unlabeled\10147.jpeg,54,False
task1\train_data\images\unlabeled\10148.jpeg,1,False
task1\train_data\images\unlabeled\10149.jpeg,82,False
task1\train_data\images\unlabeled\1015.jpeg,85,False
task1\train_data\images\unlabeled\10150.jpeg,3,False
task1\train_data\images\unlabeled\10151.jpeg,16,False
task1\train_data\images\unlabeled\10152.jpeg,92,False
task1\train_data\images\unlabeled\10153.jpeg,30,False
task1\train_data\images\unlabeled\10154.jpeg,99,False
task1\train_data\images\unlabeled\10155.jpeg,62,False
task1\train_data\images\unlabeled\10156.jpeg,16,False
task1\train_data\images\unlabeled\10157.jpeg,95,False
task1\train_data\images\unlabeled\10158.jpeg,21,False
task1\train_data\images\unlabeled\10159.jpeg,51,False
task1\train_data\images\unlabeled\1016.jpeg,72,False
task1\train_data\images\unlabeled\10160.jpeg,85,False
task1\train_data\images\unlabeled\10161.jpeg,12,False
task1\train_data\images\unlabeled\10162.jpeg,9,False
task1\train_data\images\unlabeled\10163.jpeg,74,False
task1\train_data\images\unlabeled\10164.jpeg,35,False
task1\train_data\images\unlabeled\10165.jpeg,61,False
task1\train_data\images\unlabeled\10166.jpeg,86,False
task1\train_data\images\unlabeled\10167.jpeg,49,False
task1\train_data\images\unlabeled\10168.jpeg,0,False
task1\train_data\images\unlabeled\10169.jpeg,66,False
task1\train_data\images\unlabeled\1017.jpeg,51,False
task1\train_data\images\unlabeled\10170.jpeg,60,False
task1\train_data\images\unlabeled\10171.jpeg,55,False
task1\train_data\images\unlabeled\10172.jpeg,50,False
task1\train_data\images\unlabeled\10173.jpeg,78,False
task1\train_data\images\unlabeled\10174.jpeg,53,False
task1\train_data\images\unlabeled\10175.jpeg,53,False
task1\train_data\images\unlabeled\10176.jpeg,13,False
task1\train_data\images\unlabeled\10177.jpeg,83,False
task1\train_data\images\unlabeled\10178.jpeg,36,False
task1\train_data\images\unlabeled\10179.jpeg,65,False
task1\train_data\images\unlabeled\1018.jpeg,7,False
task1\train_data\images\unlabeled\10180.jpeg,9,False
task1\train_data\images\unlabeled\10181.jpeg,54,False
task1\train_data\images\unlabeled\10182.jpeg,66,False
task1\train_data\images\unlabeled\10183.jpeg,19,False
task1\train_data\images\unlabeled\10184.jpeg,58,False
task1\train_data\images\unlabeled\10185.jpeg,59,False
task1\train_data\images\unlabeled\10186.jpeg,38,False
task1\train_data\images\unlabeled\10187.jpeg,56,False
task1\train_data\images\unlabeled\10188.jpeg,23,False
task1\train_data\images\unlabeled\10189.jpeg,43,False
task1\train_data\images\unlabeled\1019.jpeg,70,False
task1\train_data\images\unlabeled\10190.jpeg,99,False
task1\train_data\images\unlabeled\10191.jpeg,95,False
task1\train_data\images\unlabeled\10192.jpeg,65,False
task1\train_data\images\unlabeled\10193.jpeg,84,False
task1\train_data\images\unlabeled\10194.jpeg,70,False
task1\train_data\images\unlabeled\10195.jpeg,54,False
task1\train_data\images\unlabeled\10196.jpeg,87,False
task1\train_data\images\unlabeled\10197.jpeg,58,False
task1\train_data\images\unlabeled\10198.jpeg,53,False
task1\train_data\images\unlabeled\10199.jpeg,53,False
task1\train_data\images\unlabeled\102.jpeg,22,False
task1\train_data\images\unlabeled\1020.jpeg,39,False
task1\train_data\images\unlabeled\10200.jpeg,92,False
task1\train_data\images\unlabeled\10201.jpeg,44,False
task1\train_data\images\unlabeled\10202.jpeg,3,False
task1\train_data\images\unlabeled\10203.jpeg,24,False
task1\train_data\images\unlabeled\10204.jpeg,86,False
task1\train_data\images\unlabeled\10205.jpeg,58,False
task1\train_data\images\unlabeled\10206.jpeg,75,False
task1\train_data\images\unlabeled\10207.jpeg,21,False
task1\train_data\images\unlabeled\10208.jpeg,49,False
task1\train_data\images\unlabeled\10209.jpeg,74,False
task1\train_data\images\unlabeled\1021.jpeg,88,False
task1\train_data\images\unlabeled\10210.jpeg,15,False
task1\train_data\images\unlabeled\10211.jpeg,26,False
task1\train_data\images\unlabeled\10212.jpeg,95,False
task1\train_data\images\unlabeled\10213.jpeg,17,False
task1\train_data\images\unlabeled\10214.jpeg,8,False
task1\train_data\images\unlabeled\10215.jpeg,13,False
task1\train_data\images\unlabeled\10216.jpeg,44,False
task1\train_data\images\unlabeled\10217.jpeg,79,False
task1\train_data\images\unlabeled\10218.jpeg,37,False
task1\train_data\images\unlabeled\10219.jpeg,93,False
task1\train_data\images\unlabeled\1022.jpeg,74,False
task1\train_data\images\unlabeled\10220.jpeg,57,False
task1\train_data\images\unlabeled\10221.jpeg,7,False
task1\train_data\images\unlabeled\10222.jpeg,31,False
task1\train_data\images\unlabeled\10223.jpeg,62,False
task1\train_data\images\unlabeled\10224.jpeg,85,False
task1\train_data\images\unlabeled\10225.jpeg,94,False
task1\train_data\images\unlabeled\10226.jpeg,73,False
task1\train_data\images\unlabeled\10227.jpeg,79,False
task1\train_data\images\unlabeled\10228.jpeg,16,False
task1\train_data\images\unlabeled\10229.jpeg,15,False
task1\train_data\images\unlabeled\1023.jpeg,62,False
task1\train_data\images\unlabeled\10230.jpeg,67,False
task1\train_data\images\unlabeled\10231.jpeg,89,False
task1\train_data\images\unlabeled\10232.jpeg,83,False
task1\train_data\images\unlabeled\10233.jpeg,33,False
task1\train_data\images\unlabeled\10234.jpeg,89,False
task1\train_data\images\unlabeled\10235.jpeg,59,False
task1\train_data\images\unlabeled\10236.jpeg,96,False
task1\train_data\images\unlabeled\10237.jpeg,61,False
task1\train_data\images\unlabeled\10238.jpeg,72,False
task1\train_data\images\unlabeled\10239.jpeg,11,False
task1\train_data\images\unlabeled\1024.jpeg,57,False
task1\train_data\images\unlabeled\10240.jpeg,1,False
task1\train_data\images\unlabeled\10241.jpeg,56,False
task1\train_data\images\unlabeled\10242.jpeg,64,False
task1\train_data\images\unlabeled\10243.jpeg,32,False
task1\train_data\images\unlabeled\10244.jpeg,27,False
task1\train_data\images\unlabeled\10245.jpeg,23,False
task1\train_data\images\unlabeled\10246.jpeg,71,False
task1\train_data\images\unlabeled\10247.jpeg,34,False
task1\train_data\images\unlabeled\10248.jpeg,5,False
task1\train_data\images\unlabeled\10249.jpeg,55,False
task1\train_data\images\unlabeled\1025.jpeg,22,False
task1\train_data\images\unlabeled\10250.jpeg,58,False
task1\train_data\images\unlabeled\10251.jpeg,94,False
task1\train_data\images\unlabeled\10252.jpeg,90,False
task1\train_data\images\unlabeled\10253.jpeg,71,False
task1\train_data\images\unlabeled\10254.jpeg,26,False
task1\train_data\images\unlabeled\10255.jpeg,19,False
task1\train_data\images\unlabeled\10256.jpeg,61,False
task1\train_data\images\unlabeled\10257.jpeg,99,False
task1\train_data\images\unlabeled\10258.jpeg,30,False
task1\train_data\images\unlabeled\10259.jpeg,40,False
task1\train_data\images\unlabeled\1026.jpeg,77,False
task1\train_data\images\unlabeled\10260.jpeg,52,False
task1\train_data\images\unlabeled\10261.jpeg,52,False
task1\train_data\images\unlabeled\10262.jpeg,38,False
task1\train_data\images\unlabeled\10263.jpeg,27,False
task1\train_data\images\unlabeled\10264.jpeg,92,False
task1\train_data\images\unlabeled\10265.jpeg,22,False
task1\train_data\images\unlabeled\10266.jpeg,60,False
task1\train_data\images\unlabeled\10267.jpeg,89,False
task1\train_data\images\unlabeled\10268.jpeg,44,False
task1\train_data\images\unlabeled\10269.jpeg,34,False
task1\train_data\images\unlabeled\1027.jpeg,79,False
task1\train_data\images\unlabeled\10270.jpeg,19,False
task1\train_data\images\unlabeled\10271.jpeg,77,False
task1\train_data\images\unlabeled\10272.jpeg,39,False
task1\train_data\images\unlabeled\10273.jpeg,90,False
task1\train_data\images\unlabeled\10274.jpeg,12,False
task1\train_data\images\unlabeled\10275.jpeg,62,False
task1\train_data\images\unlabeled\10276.jpeg,21,False
task1\train_data\images\unlabeled\10277.jpeg,42,False
task1\train_data\images\unlabeled\10278.jpeg,88,False
task1\train_data\images\unlabeled\10279.jpeg,68,False
task1\train_data\images\unlabeled\1028.jpeg,33,False
task1\train_data\images\unlabeled\10280.jpeg,95,False
task1\train_data\images\unlabeled\10281.jpeg,5,False
task1\train_data\images\unlabeled\10282.jpeg,61,False
task1\train_data\images\unlabeled\10283.jpeg,53,False
task1\train_data\images\unlabeled\10284.jpeg,91,False
task1\train_data\images\unlabeled\10285.jpeg,61,False
task1\train_data\images\unlabeled\10286.jpeg,35,False
task1\train_data\images\unlabeled\10287.jpeg,16,False
task1\train_data\images\unlabeled\10288.jpeg,18,False
task1\train_data\images\unlabeled\10289.jpeg,68,False
task1\train_data\images\unlabeled\1029.jpeg,29,False
task1\train_data\images\unlabeled\10290.jpeg,90,False
task1\train_data\images\unlabeled\10291.jpeg,46,False
task1\train_data\images\unlabeled\10292.jpeg,65,False
task1\train_data\images\unlabeled\10293.jpeg,55,False
task1\train_data\images\unlabeled\10294.jpeg,96,False
task1\train_data\images\unlabeled\10295.jpeg,47,False
task1\train_data\images\unlabeled\10296.jpeg,20,False
task1\train_data\images\unlabeled\10297.jpeg,73,False
task1\train_data\images\unlabeled\10298.jpeg,66,False
task1\train_data\images\unlabeled\10299.jpeg,97,False
task1\train_data\images\unlabeled\103.jpeg,63,False
task1\train_data\images\unlabeled\1030.jpeg,64,False
task1\train_data\images\unlabeled\10300.jpeg,98,False
task1\train_data\images\unlabeled\10301.jpeg,18,False
task1\train_data\images\unlabeled\10302.jpeg,32,False
task1\train_data\images\unlabeled\10303.jpeg,85,False
task1\train_data\images\unlabeled\10304.jpeg,66,False
task1\train_data\images\unlabeled\10305.jpeg,63,False
task1\train_data\images\unlabeled\10306.jpeg,63,False
task1\train_data\images\unlabeled\10307.jpeg,92,False
task1\train_data\images\unlabeled\10308.jpeg,88,False
task1\train_data\images\unlabeled\10309.jpeg,38,False
task1\train_data\images\unlabeled\1031.jpeg,73,False
task1\train_data\images\unlabeled\10310.jpeg,15,False
task1\train_data\images\unlabeled\10311.jpeg,21,False
task1\train_data\images\unlabeled\10312.jpeg,71,False
task1\train_data\images\unlabeled\10313.jpeg,1,False
task1\train_data\images\unlabeled\10314.jpeg,82,False
task1\train_data\images\unlabeled\10315.jpeg,93,False
task1\train_data\images\unlabeled\10316.jpeg,89,False
task1\train_data\images\unlabeled\10317.jpeg,89,False
task1\train_data\images\unlabeled\10318.jpeg,58,False
task1\train_data\images\unlabeled\10319.jpeg,42,False
task1\train_data\images\unlabeled\1032.jpeg,25,False
task1\train_data\images\unlabeled\10320.jpeg,24,False
task1\train_data\images\unlabeled\10321.jpeg,11,False
task1\train_data\images\unlabeled\10322.jpeg,16,False
task1\train_data\images\unlabeled\10323.jpeg,36,False
task1\train_data\images\unlabeled\10324.jpeg,2,False
task1\train_data\images\unlabeled\10325.jpeg,40,False
task1\train_data\images\unlabeled\10326.jpeg,6,False
task1\train_data\images\unlabeled\10327.jpeg,99,False
task1\train_data\images\unlabeled\10328.jpeg,7,False
task1\train_data\images\unlabeled\10329.jpeg,16,False
task1\train_data\images\unlabeled\1033.jpeg,30,False
task1\train_data\images\unlabeled\10330.jpeg,89,False
task1\train_data\images\unlabeled\10331.jpeg,77,False
task1\train_data\images\unlabeled\10332.jpeg,51,False
task1\train_data\images\unlabeled\10333.jpeg,11,False
task1\train_data\images\unlabeled\10334.jpeg,69,False
task1\train_data\images\unlabeled\10335.jpeg,48,False
task1\train_data\images\unlabeled\10336.jpeg,51,False
task1\train_data\images\unlabeled\10337.jpeg,42,False
task1\train_data\images\unlabeled\10338.jpeg,51,False
task1\train_data\images\unlabeled\10339.jpeg,97,False
task1\train_data\images\unlabeled\1034.jpeg,23,False
task1\train_data\images\unlabeled\10340.jpeg,10,False
task1\train_data\images\unlabeled\10341.jpeg,23,False
task1\train_data\images\unlabeled\10342.jpeg,93,False
task1\train_data\images\unlabeled\10343.jpeg,80,False
task1\train_data\images\unlabeled\10344.jpeg,41,False
task1\train_data\images\unlabeled\10345.jpeg,29,False
task1\train_data\images\unlabeled\10346.jpeg,97,False
task1\train_data\images\unlabeled\10347.jpeg,60,False
task1\train_data\images\unlabeled\10348.jpeg,53,False
task1\train_data\images\unlabeled\10349.jpeg,39,False
task1\train_data\images\unlabeled\1035.jpeg,44,False
task1\train_data\images\unlabeled\10350.jpeg,14,False
task1\train_data\images\unlabeled\10351.jpeg,53,False
task1\train_data\images\unlabeled\10352.jpeg,62,False
task1\train_data\images\unlabeled\10353.jpeg,79,False
task1\train_data\images\unlabeled\10354.jpeg,18,False
task1\train_data\images\unlabeled\10355.jpeg,28,False
task1\train_data\images\unlabeled\10356.jpeg,76,False
task1\train_data\images\unlabeled\10357.jpeg,6,False
task1\train_data\images\unlabeled\10358.jpeg,85,False
task1\train_data\images\unlabeled\10359.jpeg,80,False
task1\train_data\images\unlabeled\1036.jpeg,80,False
task1\train_data\images\unlabeled\10360.jpeg,31,False
task1\train_data\images\unlabeled\10361.jpeg,91,False
task1\train_data\images\unlabeled\10362.jpeg,55,False
task1\train_data\images\unlabeled\10363.jpeg,44,False
task1\train_data\images\unlabeled\10364.jpeg,52,False
task1\train_data\images\unlabeled\10365.jpeg,60,False
task1\train_data\images\unlabeled\10366.jpeg,3,False
task1\train_data\images\unlabeled\10367.jpeg,62,False
task1\train_data\images\unlabeled\10368.jpeg,96,False
task1\train_data\images\unlabeled\10369.jpeg,0,False
task1\train_data\images\unlabeled\1037.jpeg,96,False
task1\train_data\images\unlabeled\10370.jpeg,40,False
task1\train_data\images\unlabeled\10371.jpeg,61,False
task1\train_data\images\unlabeled\10372.jpeg,7,False
task1\train_data\images\unlabeled\10373.jpeg,5,False
task1\train_data\images\unlabeled\10374.jpeg,85,False
task1\train_data\images\unlabeled\10375.jpeg,33,False
task1\train_data\images\unlabeled\10376.jpeg,43,False
task1\train_data\images\unlabeled\10377.jpeg,78,False
task1\train_data\images\unlabeled\10378.jpeg,62,False
task1\train_data\images\unlabeled\10379.jpeg,17,False
task1\train_data\images\unlabeled\1038.jpeg,93,False
task1\train_data\images\unlabeled\10380.jpeg,59,False
task1\train_data\images\unlabeled\10381.jpeg,45,False
task1\train_data\images\unlabeled\10382.jpeg,88,False
task1\train_data\images\unlabeled\10383.jpeg,97,False
task1\train_data\images\unlabeled\10384.jpeg,3,False
task1\train_data\images\unlabeled\10385.jpeg,95,False
task1\train_data\images\unlabeled\10386.jpeg,91,False
task1\train_data\images\unlabeled\10387.jpeg,18,False
task1\train_data\images\unlabeled\10388.jpeg,92,False
task1\train_data\images\unlabeled\10389.jpeg,91,False
task1\train_data\images\unlabeled\1039.jpeg,35,False
task1\train_data\images\unlabeled\10390.jpeg,5,False
task1\train_data\images\unlabeled\10391.jpeg,60,False
task1\train_data\images\unlabeled\10392.jpeg,47,False
task1\train_data\images\unlabeled\10393.jpeg,51,False
task1\train_data\images\unlabeled\10394.jpeg,65,False
task1\train_data\images\unlabeled\10395.jpeg,67,False
task1\train_data\images\unlabeled\10396.jpeg,5,False
task1\train_data\images\unlabeled\10397.jpeg,99,False
task1\train_data\images\unlabeled\10398.jpeg,62,False
task1\train_data\images\unlabeled\10399.jpeg,42,False
task1\train_data\images\unlabeled\104.jpeg,99,False
task1\train_data\images\unlabeled\1040.jpeg,78,False
task1\train_data\images\unlabeled\10400.jpeg,30,False
task1\train_data\images\unlabeled\10401.jpeg,39,False
task1\train_data\images\unlabeled\10402.jpeg,13,False
task1\train_data\images\unlabeled\10403.jpeg,43,False
task1\train_data\images\unlabeled\10404.jpeg,13,False
task1\train_data\images\unlabeled\10405.jpeg,92,False
task1\train_data\images\unlabeled\10406.jpeg,8,False
task1\train_data\images\unlabeled\10407.jpeg,53,False
task1\train_data\images\unlabeled\10408.jpeg,49,False
task1\train_data\images\unlabeled\10409.jpeg,26,False
task1\train_data\images\unlabeled\1041.jpeg,91,False
task1\train_data\images\unlabeled\10410.jpeg,96,False
task1\train_data\images\unlabeled\10411.jpeg,53,False
task1\train_data\images\unlabeled\10412.jpeg,25,False
task1\train_data\images\unlabeled\10413.jpeg,44,False
task1\train_data\images\unlabeled\10414.jpeg,45,False
task1\train_data\images\unlabeled\10415.jpeg,14,False
task1\train_data\images\unlabeled\10416.jpeg,93,False
task1\train_data\images\unlabeled\10417.jpeg,25,False
task1\train_data\images\unlabeled\10418.jpeg,72,False
task1\train_data\images\unlabeled\10419.jpeg,27,False
task1\train_data\images\unlabeled\1042.jpeg,26,False
task1\train_data\images\unlabeled\10420.jpeg,73,False
task1\train_data\images\unlabeled\10421.jpeg,52,False
task1\train_data\images\unlabeled\10422.jpeg,54,False
task1\train_data\images\unlabeled\10423.jpeg,48,False
task1\train_data\images\unlabeled\10424.jpeg,90,False
task1\train_data\images\unlabeled\10425.jpeg,54,False
task1\train_data\images\unlabeled\10426.jpeg,40,False
task1\train_data\images\unlabeled\10427.jpeg,88,False
task1\train_data\images\unlabeled\10428.jpeg,64,False
task1\train_data\images\unlabeled\10429.jpeg,33,False
task1\train_data\images\unlabeled\1043.jpeg,5,False
task1\train_data\images\unlabeled\10430.jpeg,77,False
task1\train_data\images\unlabeled\10431.jpeg,49,False
task1\train_data\images\unlabeled\10432.jpeg,85,False
task1\train_data\images\unlabeled\10433.jpeg,62,False
task1\train_data\images\unlabeled\10434.jpeg,8,False
task1\train_data\images\unlabeled\10435.jpeg,13,False
task1\train_data\images\unlabeled\10436.jpeg,81,False
task1\train_data\images\unlabeled\10437.jpeg,21,False
task1\train_data\images\unlabeled\10438.jpeg,70,False
task1\train_data\images\unlabeled\10439.jpeg,35,False
task1\train_data\images\unlabeled\1044.jpeg,61,False
task1\train_data\images\unlabeled\10440.jpeg,50,False
task1\train_data\images\unlabeled\10441.jpeg,70,False
task1\train_data\images\unlabeled\10442.jpeg,38,False
task1\train_data\images\unlabeled\10443.jpeg,9,False
task1\train_data\images\unlabeled\10444.jpeg,22,False
task1\train_data\images\unlabeled\10445.jpeg,93,False
task1\train_data\images\unlabeled\10446.jpeg,74,False
task1\train_data\images\unlabeled\10447.jpeg,23,False
task1\train_data\images\unlabeled\10448.jpeg,33,False
task1\train_data\images\unlabeled\10449.jpeg,80,False
task1\train_data\images\unlabeled\1045.jpeg,34,False
task1\train_data\images\unlabeled\10450.jpeg,78,False
task1\train_data\images\unlabeled\10451.jpeg,55,False
task1\train_data\images\unlabeled\10452.jpeg,57,False
task1\train_data\images\unlabeled\10453.jpeg,78,False
task1\train_data\images\unlabeled\10454.jpeg,27,False
task1\train_data\images\unlabeled\10455.jpeg,92,False
task1\train_data\images\unlabeled\10456.jpeg,89,False
task1\train_data\images\unlabeled\10457.jpeg,17,False
task1\train_data\images\unlabeled\10458.jpeg,71,False
task1\train_data\images\unlabeled\10459.jpeg,19,False
task1\train_data\images\unlabeled\1046.jpeg,69,False
task1\train_data\images\unlabeled\10460.jpeg,91,False
task1\train_data\images\unlabeled\10461.jpeg,77,False
task1\train_data\images\unlabeled\10462.jpeg,3,False
